排序号,事件 ID,开始时间（秒）,结束时间（秒）,时长（秒）,关联台词 ID,事件类型,原文,实际朗读文本,角色,音色 ID,情绪,素材 ID,素材名称,增益 dB,空间处理方式,起点方位,起点坐标,终点坐标,完整轨迹 JSON
13,s11,40.03035416666667,44.93035416666667,4.9,,人声,楼上传来一下闷响，像有人把沉重的箱子放在地板上。,楼上传来一下闷响，像有人把沉重的箱子放在地板上。,旁白,Chinese (Mandarin)_Reliable_Executive,surprised,,,-3.0,居中双声道，不参与空间定位；下列坐标为未参与渲染的配置值,居中（坐标未应用）,"[0.0, 2.0, 2.0]","[0.0, 2.0, 2.0]","[{""t"":0.0,""x"":0.0,""y"":2.0,""z"":2.0,""absolute_time"":40.03035416666667}]"
14,fx2,45.13035416666667,46.33035416666667,1.2,s11,音效,楼上传来一下闷响，像有人把沉重的箱子放在地板上。,,,,,kenney_impactWood_heavy_000,木板重击,6.0,双耳空间定位,左、上,"[-2.0, 4.0, 0.0]","[-2.0, 4.0, 0.0]","[{""t"":0.0,""x"":-2.0,""y"":4.0,""z"":0.0,""absolute_time"":45.13035416666667}]"
15,s12,46.45035416666667,51.65035416666667,5.2,,人声,"许宁抬起头，手电的光沿着墙慢慢移到天花板。
",许宁抬起头，手电的光沿着墙慢慢移到天花板。,旁白,Chinese (Mandarin)_Reliable_Executive,fearful,,,-3.0,居中双声道，不参与空间定位；下列坐标为未参与渲染的配置值,居中（坐标未应用）,"[1.0, 0.0, 2.0]","[1.0, 0.0, 2.0]","[{""t"":0.0,""x"":1.0,""y"":0.0,""z"":2.0,""absolute_time"":46.45035416666667}]"
16,s13,51.850354166666676,53.417729166666675,1.567375,,人声,“上面有人。”,上面有人。,许宁,Chinese (Mandarin)_Gentleman,fearful,,,-3.0,双耳空间定位,右、前,"[1.0, 0.0, 2.0]","[1.0, 0.0, 2.0]","[{""t"":0.0,""x"":1.0,""y"":0.0,""z"":2.0,""absolute_time"":51.850354166666676}]"
17,s14,53.61772916666668,55.517729166666676,1.9,,人声,"她的声音压得很低。
",她的声音压得很低。,旁白,Chinese (Mandarin)_Reliable_Executive,fearful,,,-3.0,居中双声道，不参与空间定位；下列坐标为未参与渲染的配置值,居中（坐标未应用）,"[1.0, 0.0, 2.0]","[1.0, 0.0, 2.0]","[{""t"":0.0,""x"":1.0,""y"":0.0,""z"":2.0,""absolute_time"":53.61772916666668}]"
18,s15,55.71772916666668,60.017729166666676,4.3,,人声,林舟刚要回答，身后的走廊里响起脚步声。,林舟刚要回答，身后的走廊里响起脚步声。,旁白,Chinese (Mandarin)_Reliable_Executive,fearful,,,-3.0,居中双声道，不参与空间定位；下列坐标为未参与渲染的配置值,居中（坐标未应用）,"[-1.0, 0.0, 2.0]","[-1.0, 0.0, 2.0]","[{""t"":0.0,""x"":-1.0,""y"":0.0,""z"":2.0,""absolute_time"":55.71772916666668}]"
19,fx3,60.21772916666668,66.21772916666669,6.0,s15,音效,林舟刚要回答，身后的走廊里响起脚步声。,,,,,surround_steps_5bcd4cbc193d4a47,环绕展示 · 连续水泥脚步（6秒10步）,6.0,双耳空间定位,左、后,"[-3.0, 0.0, -6.0]","[0.8, 0.0, -0.6]","[{""t"":0.0,""x"":-3.0,""y"":0.0,""z"":-6.0,""absolute_time"":60.21772916666668},{""t"":3.0,""x"":2.0,""y"":0.0,""z"":-3.0,""absolute_time"":63.21772916666668},{""t"":6.0,""x"":0.8,""y"":0.0,""z"":-0.6,""absolute_time"":66.21772916666669}]"
20,fx5ddc17bc218247acad945e4609966f54,66.33772916666669,66.58733333333336,0.24960416666666665,s15,音效,林舟刚要回答，身后的走廊里响起脚步声。,,,,,kenney_footstep_wood_000,木地板脚步,-12.0,双耳空间定位,左、后,"[-0.8, 0.0, -0.6]","[-0.8, 0.0, -0.6]","[{""t"":0.0,""x"":-0.8,""y"":0.0,""z"":-0.6,""absolute_time"":66.33772916666669}]"
21,s16,66.70733333333337,71.30733333333336,4.6,,人声,起初很远，隔着几扇门，随后越来越近。,起初很远，隔着几扇门，随后越来越近。,旁白,Chinese (Mandarin)_Reliable_Executive,fearful,,,-3.0,居中双声道，不参与空间定位；下列坐标为未参与渲染的配置值,居中（坐标未应用）,"[0.0, 0.0, -3.0]","[0.0, 0.0, -3.0]","[{""t"":0.0,""x"":0.0,""y"":0.0,""z"":-3.0,""absolute_time"":66.70733333333337}]"
22,s17,71.50733333333336,74.10733333333336,2.6,,人声,每一步之间的间隔完全一样。,每一步之间的间隔完全一样。,旁白,Chinese (Mandarin)_Reliable_Executive,fearful,,,-3.0,居中双声道，不参与空间定位；下列坐标为未参与渲染的配置值,居中（坐标未应用）,"[0.0, 0.0, -3.0]","[0.0, 0.0, -3.0]","[{""t"":0.0,""x"":0.0,""y"":0.0,""z"":-3.0,""absolute_time"":71.50733333333336}]"
23,s18,74.30733333333336,76.20733333333337,1.9,,人声,林舟没有回头。,林舟没有回头。,旁白,Chinese (Mandarin)_Reliable_Executive,fearful,,,-3.0,居中双声道，不参与空间定位；下列坐标为未参与渲染的配置值,居中（坐标未应用）,"[-1.0, 0.0, 2.0]","[-1.0, 0.0, 2.0]","[{""t"":0.0,""x"":-1.0,""y"":0.0,""z"":2.0,""absolute_time"":74.30733333333336}]"
24,s19,76.40733333333337,81.40733333333337,5.0,,人声,"他看见许宁的脸色变了，她一直盯着他身后的黑暗。
",他看见许宁的脸色变了，她一直盯着他身后的黑暗。,旁白,Chinese (Mandarin)_Reliable_Executive,fearful,,,-3.0,居中双声道，不参与空间定位；下列坐标为未参与渲染的配置值,居中（坐标未应用）,"[1.0, 0.0, 2.0]","[1.0, 0.0, 2.0]","[{""t"":0.0,""x"":1.0,""y"":0.0,""z"":2.0,""absolute_time"":76.40733333333337}]"
25,s20,81.60733333333337,82.62900000000003,1.0216666666666667,,人声,“别动。”,别动。,许宁,Chinese (Mandarin)_Gentleman,fearful,,,-3.0,双耳空间定位,右、前,"[1.0, 0.0, 2.0]","[1.0, 0.0, 2.0]","[{""t"":0.0,""x"":1.0,""y"":0.0,""z"":2.0,""absolute_time"":81.60733333333337}]"
26,s21,82.82900000000004,83.8855416666667,1.0565416666666667,,人声,许宁说，,许宁说，,旁白,Chinese (Mandarin)_Reliable_Executive,neutral,,,-3.0,居中双声道，不参与空间定位；下列坐标为未参与渲染的配置值,居中（坐标未应用）,"[1.0, 0.0, 2.0]","[1.0, 0.0, 2.0]","[{""t"":0.0,""x"":1.0,""y"":0.0,""z"":2.0,""absolute_time"":82.82900000000004}]"
27,s22,84.0855416666667,86.04764583333336,1.9621041666666668,,人声,“那不是从楼梯下来的。”,那不是从楼梯下来的。,许宁,Chinese (Mandarin)_Gentleman,fearful,,,-3.0,双耳空间定位,右、前,"[1.0, 0.0, 2.0]","[1.0, 0.0, 2.0]","[{""t"":0.0,""x"":1.0,""y"":0.0,""z"":2.0,""absolute_time"":84.0855416666667}]"
28,s24,86.24764583333337,88.04764583333336,1.8,,人声,脚步停在门厅外。,脚步停在门厅外。,旁白,Chinese (Mandarin)_Reliable_Executive,fearful,,,-3.0,居中双声道，不参与空间定位；下列坐标为未参与渲染的配置值,居中（坐标未应用）,"[0.0, 0.0, -3.0]","[0.0, 0.0, -3.0]","[{""t"":0.0,""x"":0.0,""y"":0.0,""z"":-3.0,""absolute_time"":86.24764583333337}]"
29,s25,88.24764583333337,92.74764583333337,4.5,,人声,门轴缓缓发出一声长响，冷风从两人之间穿过去。,门轴缓缓发出一声长响，冷风从两人之间穿过去。,旁白,Chinese (Mandarin)_Reliable_Executive,fearful,,,-3.0,居中双声道，不参与空间定位；下列坐标为未参与渲染的配置值,居中（坐标未应用）,"[0.0, 0.0, 2.0]","[0.0, 0.0, 2.0]","[{""t"":0.0,""x"":0.0,""y"":0.0,""z"":2.0,""absolute_time"":88.24764583333337}]"
30,fx4,88.24764583333337,91.24764583333337,3.0,s25,音效,门轴缓缓发出一声长响，冷风从两人之间穿过去。,,,,,door_creak,门轴（合成）,-7.0,双耳空间定位,右、前,"[3.0, 0.0, 2.0]","[2.0, 0.0, 0.0]","[{""t"":0.0,""x"":3.0,""y"":0.0,""z"":2.0,""absolute_time"":88.24764583333337},{""t"":3.0,""x"":2.0,""y"":0.0,""z"":0.0,""absolute_time"":91.24764583333337}]"
31,fx5,89.24764583333337,93.24764583333337,4.0,s25,环境声,门轴缓缓发出一声长响，冷风从两人之间穿过去。,,,,,wind,风声（合成）,-7.0,双耳空间定位,上、前,"[0.0, 1.0, 4.0]","[0.0, 1.0, -4.0]","[{""t"":0.0,""x"":0.0,""y"":1.0,""z"":4.0,""absolute_time"":89.24764583333337},{""t"":2.0,""x"":-2.0,""y"":0.0,""z"":0.0,""absolute_time"":91.24764583333337},{""t"":4.0,""x"":0.0,""y"":1.0,""z"":-4.0,""absolute_time"":93.24764583333337}]"
32,s26,92.94764583333337,101.54764583333336,8.6,,人声,"林舟把钥匙插进面前的锁孔，试了两次，却发现锁孔里面已经插着另一把钥匙。
",林舟把钥匙插进面前的锁孔，试了两次，却发现锁孔里面已经插着另一把钥匙。,旁白,Chinese (Mandarin)_Reliable_Executive,surprised,,,-3.0,居中双声道，不参与空间定位；下列坐标为未参与渲染的配置值,居中（坐标未应用）,"[-1.0, 0.0, 2.0]","[-1.0, 0.0, 2.0]","[{""t"":0.0,""x"":-1.0,""y"":0.0,""z"":2.0,""absolute_time"":92.94764583333337}]"
33,s27,101.74764583333337,103.34764583333336,1.6,,人声,楼上又响了一下。,楼上又响了一下。,旁白,Chinese (Mandarin)_Reliable_Executive,fearful,,,-3.0,居中双声道，不参与空间定位；下列坐标为未参与渲染的配置值,居中（坐标未应用）,"[0.0, 2.0, 2.0]","[0.0, 2.0, 2.0]","[{""t"":0.0,""x"":0.0,""y"":2.0,""z"":2.0,""absolute_time"":101.74764583333337}]"
34,fx6,103.54764583333336,104.54764583333336,1.0,s27,音效,楼上又响了一下。,,,,,kenney_impactWood_heavy_000,木板重击,6.0,双耳空间定位,右、上、后,"[2.0, 4.0, -1.0]","[2.0, 4.0, -1.0]","[{""t"":0.0,""x"":2.0,""y"":4.0,""z"":-1.0,""absolute_time"":103.54764583333336}]"
35,s28,104.66764583333337,107.56764583333337,2.9,,人声,"这一次，就在他们头顶。
",这一次，就在他们头顶。,旁白,Chinese (Mandarin)_Reliable_Executive,fearful,,,-3.0,居中双声道，不参与空间定位；下列坐标为未参与渲染的配置值,居中（坐标未应用）,"[0.0, 2.0, 2.0]","[0.0, 2.0, 2.0]","[{""t"":0.0,""x"":0.0,""y"":2.0,""z"":2.0,""absolute_time"":104.66764583333337}]"
36,s29,107.76764583333338,108.95187500000004,1.1842291666666667,,人声,“林舟，”,林舟，,许宁,Chinese (Mandarin)_Gentleman,fearful,,,-3.0,双耳空间定位,右、前,"[1.0, 0.0, 2.0]","[1.0, 0.0, 2.0]","[{""t"":0.0,""x"":1.0,""y"":0.0,""z"":2.0,""absolute_time"":107.76764583333338}]"
37,s30,109.15187500000005,110.20841666666671,1.0565416666666667,,人声,许宁说，,许宁说，,旁白,Chinese (Mandarin)_Reliable_Executive,neutral,,,-3.0,居中双声道，不参与空间定位；下列坐标为未参与渲染的配置值,居中（坐标未应用）,"[1.0, 0.0, 2.0]","[1.0, 0.0, 2.0]","[{""t"":0.0,""x"":1.0,""y"":0.0,""z"":2.0,""absolute_time"":109.15187500000005}]"
38,s31,110.40841666666671,112.0084166666667,1.6,,人声,“把手电给我。”,把手电给我。,许宁,Chinese (Mandarin)_Gentleman,fearful,,,-3.0,双耳空间定位,右、前,"[1.0, 0.0, 2.0]","[1.0, 0.0, 2.0]","[{""t"":0.0,""x"":1.0,""y"":0.0,""z"":2.0,""absolute_time"":110.40841666666671}]"
39,s33,112.20841666666671,113.61322916666671,1.4048125,,人声,他向右递出手电。,他向右递出手电。,旁白,Chinese (Mandarin)_Reliable_Executive,neutral,,,-3.0,居中双声道，不参与空间定位；下列坐标为未参与渲染的配置值,居中（坐标未应用）,"[-1.0, 0.0, 2.0]","[-1.0, 0.0, 2.0]","[{""t"":0.0,""x"":-1.0,""y"":0.0,""z"":2.0,""absolute_time"":112.20841666666671}]"
40,s34,113.81322916666672,118.01322916666672,4.2,,人声,光束离开门的一瞬间，门后有人轻轻敲了三下。,光束离开门的一瞬间，门后有人轻轻敲了三下。,旁白,Chinese (Mandarin)_Reliable_Executive,surprised,,,-3.0,居中双声道，不参与空间定位；下列坐标为未参与渲染的配置值,居中（坐标未应用）,"[0.0, 0.0, 2.0]","[0.0, 0.0, 2.0]","[{""t"":0.0,""x"":0.0,""y"":0.0,""z"":2.0,""absolute_time"":113.81322916666672}]"
41,fx7,118.21322916666672,119.21322916666672,1.0,s34,音效,光束离开门的一瞬间，门后有人轻轻敲了三下。,,,,,kenney_impactWood_light_000,木门轻敲,-4.0,双耳空间定位,左,"[-2.0, 0.0, 0.0]","[-2.0, 0.0, 0.0]","[{""t"":0.0,""x"":-2.0,""y"":0.0,""z"":0.0,""absolute_time"":118.21322916666672}]"
42,fx22cd67e573c74d97a86a611d83204b42,119.33322916666673,120.33322916666673,1.0,s34,音效,光束离开门的一瞬间，门后有人轻轻敲了三下。,,,,,kenney_impactWood_light_000,木门轻敲,6.0,双耳空间定位,右,"[2.0, 0.0, 0.0]","[2.0, 0.0, 0.0]","[{""t"":0.0,""x"":2.0,""y"":0.0,""z"":0.0,""absolute_time"":119.33322916666673}]"
43,fx482752c8357747f4898c00a1e5d8b322,120.45322916666673,121.45322916666673,1.0,s34,音效,光束离开门的一瞬间，门后有人轻轻敲了三下。,,,,,kenney_impactWood_light_000,木门轻敲,6.0,双耳空间定位,后,"[0.0, 0.0, -1.2]","[0.0, 0.0, -1.2]","[{""t"":0.0,""x"":0.0,""y"":0.0,""z"":-1.2,""absolute_time"":120.45322916666673}]"
44,s35,121.57322916666674,124.27322916666674,2.7,,人声,墙上的钟停在十一点十七分。,墙上的钟停在十一点十七分。,旁白,Chinese (Mandarin)_Reliable_Executive,calm,,,-3.0,居中双声道，不参与空间定位；下列坐标为未参与渲染的配置值,居中（坐标未应用）,"[0.0, 0.0, 2.0]","[0.0, 0.0, 2.0]","[{""t"":0.0,""x"":0.0,""y"":0.0,""z"":2.0,""absolute_time"":121.57322916666674}]"
